table_field,nonnull_count,schema,table,field
AllWQ_CrossTab_NDs_Working.CONDLAB,3558,dbo,AllWQ_CrossTab_NDs_Working,CONDLAB
AllWQ_CrossTab_NDs_Working.Cr,2025,dbo,AllWQ_CrossTab_NDs_Working,Cr
AllWQ_CrossTab_NDs_Working.Cu,2165,dbo,AllWQ_CrossTab_NDs_Working,Cu
AllWQ_CrossTab_NDs_Working.F,3551,dbo,AllWQ_CrossTab_NDs_Working,F
AllWQ_CrossTab_NDs_Working.Fe,2596,dbo,AllWQ_CrossTab_NDs_Working,Fe
AllWQ_CrossTab_NDs_Working.HCO3,4053,dbo,AllWQ_CrossTab_NDs_Working,HCO3
AllWQ_CrossTab_NDs_Working.Hg,570,dbo,AllWQ_CrossTab_NDs_Working,Hg
AllWQ_CrossTab_NDs_Working.HRD,3170,dbo,AllWQ_CrossTab_NDs_Working,HRD
AllWQ_CrossTab_NDs_Working.IONBAL,1381,dbo,AllWQ_CrossTab_NDs_Working,IONBAL
AllWQ_CrossTab_NDs_Working.K,2553,dbo,AllWQ_CrossTab_NDs_Working,K
AllWQ_CrossTab_NDs_Working.Li,1660,dbo,AllWQ_CrossTab_NDs_Working,Li
AllWQ_CrossTab_NDs_Working.Mg,3943,dbo,AllWQ_CrossTab_NDs_Working,Mg
AllWQ_CrossTab_NDs_Working.Mn,2286,dbo,AllWQ_CrossTab_NDs_Working,Mn
AllWQ_CrossTab_NDs_Working.Mo,1883,dbo,AllWQ_CrossTab_NDs_Working,Mo
AllWQ_CrossTab_NDs_Working.Na,2650,dbo,AllWQ_CrossTab_NDs_Working,Na
AllWQ_CrossTab_NDs_Working.Ni,1526,dbo,AllWQ_CrossTab_NDs_Working,Ni
AllWQ_CrossTab_NDs_Working.NO2,1105,dbo,AllWQ_CrossTab_NDs_Working,NO2
AllWQ_CrossTab_NDs_Working.NO3,3178,dbo,AllWQ_CrossTab_NDs_Working,NO3
AllWQ_CrossTab_NDs_Working.Pb,2036,dbo,AllWQ_CrossTab_NDs_Working,Pb
AllWQ_CrossTab_NDs_Working.pHL,2571,dbo,AllWQ_CrossTab_NDs_Working,pHL
AllWQ_CrossTab_NDs_Working.Po4,1311,dbo,AllWQ_CrossTab_NDs_Working,Po4
AllWQ_CrossTab_NDs_Working.Sb,1216,dbo,AllWQ_CrossTab_NDs_Working,Sb
AllWQ_CrossTab_NDs_Working.Se,1836,dbo,AllWQ_CrossTab_NDs_Working,Se
AllWQ_CrossTab_NDs_Working.Si,963,dbo,AllWQ_CrossTab_NDs_Working,Si
AllWQ_CrossTab_NDs_Working.SiO2,2739,dbo,AllWQ_CrossTab_NDs_Working,SiO2
AllWQ_CrossTab_NDs_Working.Sn,903,dbo,AllWQ_CrossTab_NDs_Working,Sn
AllWQ_CrossTab_NDs_Working.SO4,4336,dbo,AllWQ_CrossTab_NDs_Working,SO4
AllWQ_CrossTab_NDs_Working.Sr,1725,dbo,AllWQ_CrossTab_NDs_Working,Sr
AllWQ_CrossTab_NDs_Working.TAn,1116,dbo,AllWQ_CrossTab_NDs_Working,TAn
