table_field,nonnull_count,schema,table,field
Equipment.HangingPointHgt,1051,dbo,Equipment,HangingPointHgt
Equipment.RecordingInterval,739,dbo,Equipment,RecordingInterval
Equipment.Equipment Notes,736,dbo,Equipment,Equipment Notes
Equipment.NMTProperty,1051,dbo,Equipment,NMTProperty
Equipment.GlobalID,1051,dbo,Equipment,GlobalID
Equipment.SSMA_TimeStamp,1051,dbo,Equipment,SSMA_TimeStamp
Equipment.WI_MinSoundDepth,199,dbo,Equipment,WI_MinSoundDepth
Equipment.WI_StartFrequency,195,dbo,Equipment,WI_StartFrequency
Equipment.WI_EndFrequency,195,dbo,Equipment,WI_EndFrequency
Equipment.WI_Duration,1051,dbo,Equipment,WI_Duration
Equipment.WI_Magnitude,195,dbo,Equipment,WI_Magnitude
Equipment.WI_MicGain,403,dbo,Equipment,WI_MicGain
FieldNotesScans.LocationId,0,dbo,FieldNotesScans,LocationId
FieldNotesScans.PointID,0,dbo,FieldNotesScans,PointID
FieldNotesScans.NoteType_id,0,dbo,FieldNotesScans,NoteType_id
FieldNotesScans.OLEPath,0,dbo,FieldNotesScans,OLEPath
FieldNotesScans.OBJECTID,0,dbo,FieldNotesScans,OBJECTID
FieldNotesScans.GlobalID,0,dbo,FieldNotesScans,GlobalID
FieldParameters.SamplePtID,13934,dbo,FieldParameters,SamplePtID
FieldParameters.SamplePointID,13934,dbo,FieldParameters,SamplePointID
FieldParameters.FieldParameter,13931,dbo,FieldParameters,FieldParameter
FieldParameters.SampleValue,13934,dbo,FieldParameters,SampleValue
FieldParameters.Units,13927,dbo,FieldParameters,Units
FieldParameters.Notes,81,dbo,FieldParameters,Notes
FieldParameters.OBJECTID,13934,dbo,FieldParameters,OBJECTID
FieldParameters.GlobalID,13934,dbo,FieldParameters,GlobalID
FieldParameters.AnalysesAgency,25,dbo,FieldParameters,AnalysesAgency
FieldParameters.WCLab_ID,0,dbo,FieldParameters,WCLab_ID
FieldParameters.SSMA_TimeStamp,13934,dbo,FieldParameters,SSMA_TimeStamp
GDB_ColumnInfo.TableName,0,dbo,GDB_ColumnInfo,TableName
GDB_ColumnInfo.FieldName,0,dbo,GDB_ColumnInfo,FieldName
GDB_ColumnInfo.columnFlags,0,dbo,GDB_ColumnInfo,columnFlags
GROUNDWATER_LEVELS.OBJECTID,0,dbo,GROUNDWATER_LEVELS,OBJECTID
GROUNDWATER_LEVELS.PointID,0,dbo,GROUNDWATER_LEVELS,PointID
GROUNDWATER_LEVELS.DataReliability,0,dbo,GROUNDWATER_LEVELS,DataReliability
GROUNDWATER_LEVELS.Easting,0,dbo,GROUNDWATER_LEVELS,Easting
GROUNDWATER_LEVELS.Northing,0,dbo,GROUNDWATER_LEVELS,Northing
GROUNDWATER_LEVELS.Altitude,0,dbo,GROUNDWATER_LEVELS,Altitude
GROUNDWATER_LEVELS.HoleDepth,0,dbo,GROUNDWATER_LEVELS,HoleDepth
GROUNDWATER_LEVELS.WellDepth,0,dbo,GROUNDWATER_LEVELS,WellDepth
GROUNDWATER_LEVELS.StaticWater,0,dbo,GROUNDWATER_LEVELS,StaticWater
GROUNDWATER_LEVELS.CasingDiameter,0,dbo,GROUNDWATER_LEVELS,CasingDiameter
GROUNDWATER_LEVELS.FormationZone,0,dbo,GROUNDWATER_LEVELS,FormationZone
GROUNDWATER_LEVELS.MinOfScreenTop,0,dbo,GROUNDWATER_LEVELS,MinOfScreenTop
GROUNDWATER_LEVELS.MaxOfScreenBottom,0,dbo,GROUNDWATER_LEVELS,MaxOfScreenBottom
GROUNDWATER_LEVELS.DateMeasued,0,dbo,GROUNDWATER_LEVELS,DateMeasued
GROUNDWATER_LEVELS.DepthToWaterBGS,0,dbo,GROUNDWATER_LEVELS,DepthToWaterBGS
GROUNDWATER_LEVELS.MeasurementMethod,0,dbo,GROUNDWATER_LEVELS,MeasurementMethod
GROUNDWATER_LEVELS.LevelStatus,0,dbo,GROUNDWATER_LEVELS,LevelStatus
GROUNDWATER_LEVELS.MeasuringAgency,0,dbo,GROUNDWATER_LEVELS,MeasuringAgency
GROUNDWATER_LEVELS.Shape,0,dbo,GROUNDWATER_LEVELS,Shape
HydraulicsData.WellID,0,dbo,HydraulicsData,WellID
HydraulicsData.PointID,0,dbo,HydraulicsData,PointID
HydraulicsData.HydraulicUnit,0,dbo,HydraulicsData,HydraulicUnit
HydraulicsData.TestTop,0,dbo,HydraulicsData,TestTop
HydraulicsData.TestBottom,0,dbo,HydraulicsData,TestBottom
HydraulicsData.HydraulicUnitType,0,dbo,HydraulicsData,HydraulicUnitType
HydraulicsData.Hydraulic Remarks,0,dbo,HydraulicsData,Hydraulic Remarks
HydraulicsData.T (ft2/d),0,dbo,HydraulicsData,T (ft2/d)
HydraulicsData.S (dimensionless),0,dbo,HydraulicsData,S (dimensionless)
HydraulicsData.Ss (ft-1),0,dbo,HydraulicsData,Ss (ft-1)
HydraulicsData.Sy (decimalfractn),0,dbo,HydraulicsData,Sy (decimalfractn)
HydraulicsData.KH (ft/d),0,dbo,HydraulicsData,KH (ft/d)
HydraulicsData.KV (ft/d),0,dbo,HydraulicsData,KV (ft/d)
HydraulicsData.HL (day-1),0,dbo,HydraulicsData,HL (day-1)
HydraulicsData.HD (ft2/d),0,dbo,HydraulicsData,HD (ft2/d)
HydraulicsData.Cs (gal/d/ft),0,dbo,HydraulicsData,Cs (gal/d/ft)
HydraulicsData.P (decimal fraction),0,dbo,HydraulicsData,P (decimal fraction)
HydraulicsData.k (darcy),0,dbo,HydraulicsData,k (darcy)
HydraulicsData.Data Source,0,dbo,HydraulicsData,Data Source
HydraulicsData.OBJECTID,0,dbo,HydraulicsData,OBJECTID
HydraulicsData.GlobalID,0,dbo,HydraulicsData,GlobalID
HydraulicsData.SSMA_TimeStamp,0,dbo,HydraulicsData,SSMA_TimeStamp
Location.LocationId,39783,dbo,Location,LocationId
Location.DateCreated,39783,dbo,Location,DateCreated
Location.PointID,39783,dbo,Location,PointID
Location.SiteNames,36381,dbo,Location,SiteNames
Location.SiteID,28578,dbo,Location,SiteID
Location.AlternateSiteID,7716,dbo,Location,AlternateSiteID
Location.AlternateSiteID2,82,dbo,Location,AlternateSiteID2
Location.SiteDate,3638,dbo,Location,SiteDate
Location.DataReliability,39722,dbo,Location,DataReliability
Location.Confidential,39783,dbo,Location,Confidential
Location.SiteType,39783,dbo,Location,SiteType
Location.WL_Continuous,39783,dbo,Location,WL_Continuous
Location.WL_Intermittent,39783,dbo,Location,WL_Intermittent
Location.WaterQuality,39783,dbo,Location,WaterQuality
Location.WaterFlow,39783,dbo,Location,WaterFlow
Location.Hydraulic,39783,dbo,Location,Hydraulic
Location.Subsurface,39783,dbo,Location,Subsurface
Location.WellorSpgNoData,39783,dbo,Location,WellorSpgNoData
Location.SubsurfaceType,281,dbo,Location,SubsurfaceType
Location.Easting,39755,dbo,Location,Easting
Location.Northing,39755,dbo,Location,Northing
Location.UTMDatum,39783,dbo,Location,UTMDatum
Location.CoordinateNotes,38977,dbo,Location,CoordinateNotes
Location.Altitude,39748,dbo,Location,Altitude
Location.AltitudeAccuracy,26129,dbo,Location,AltitudeAccuracy
Location.AltitudeMethod,39706,dbo,Location,AltitudeMethod
Location.AltDatum,34733,dbo,Location,AltDatum
Location.Latitude,5383,dbo,Location,Latitude
Location.Longitude,5383,dbo,Location,Longitude
Location.LatLonDatum,39783,dbo,Location,LatLonDatum
Location.CoordinateAccuracy,29573,dbo,Location,CoordinateAccuracy
Location.CoordinateMethod,38898,dbo,Location,CoordinateMethod
Location.Township,11218,dbo,Location,Township
Location.TownshipDirection,11257,dbo,Location,TownshipDirection
Location.Range,11218,dbo,Location,Range
Location.RangeDirection,11257,dbo,Location,RangeDirection
Location.SectionQuarters,10890,dbo,Location,SectionQuarters
Location.SPX,27,dbo,Location,SPX
Location.SPY,27,dbo,Location,SPY
Location.QuadName,37954,dbo,Location,QuadName
Location.County,39380,dbo,Location,County
Location.State,39783,dbo,Location,State
Location.LocationNotes,4909,dbo,Location,LocationNotes
Location.WLReportDeliver,715,dbo,Location,WLReportDeliver
Location.ChemistryReportDeliver,441,dbo,Location,ChemistryReportDeliver
Location.WLReportNote,768,dbo,Location,WLReportNote
Location.ChemistryReportNote,920,dbo,Location,ChemistryReportNote
Location.X_NAD83_Zone12,39783,dbo,Location,X_NAD83_Zone12
Location.Y_NAD83_Zone12,39783,dbo,Location,Y_NAD83_Zone12
Location.projectname,3017,dbo,Location,projectname
Location.USGSProjectID,21063,dbo,Location,USGSProjectID
Location.ObjectID,39783,dbo,Location,ObjectID
Location.LatitudeDD,29661,dbo,Location,LatitudeDD
Location.LongitudeDD,29661,dbo,Location,LongitudeDD
Location.SSMA_TimeStamp,39783,dbo,Location,SSMA_TimeStamp
Location.PublicRelease,39783,dbo,Location,PublicRelease
Location.Geometry,39755,dbo,Location,Geometry
Location.UTMZone,39783,dbo,Location,UTMZone
Location_backup.LocationId,0,dbo,Location_backup,LocationId
Location_backup.DateCreated,0,dbo,Location_backup,DateCreated
Location_backup.PointID,0,dbo,Location_backup,PointID
Location_backup.SiteNames,0,dbo,Location_backup,SiteNames
Location_backup.SiteID,0,dbo,Location_backup,SiteID
Location_backup.AlternateSiteID,0,dbo,Location_backup,AlternateSiteID
Location_backup.SiteDate,0,dbo,Location_backup,SiteDate
Location_backup.DataReliability,0,dbo,Location_backup,DataReliability
Location_backup.Confidential,0,dbo,Location_backup,Confidential
Location_backup.SiteType,0,dbo,Location_backup,SiteType
Location_backup.WL_Continuous,0,dbo,Location_backup,WL_Continuous
Location_backup.WL_Intermittent,0,dbo,Location_backup,WL_Intermittent
Location_backup.WaterQuality,0,dbo,Location_backup,WaterQuality
Location_backup.WaterFlow,0,dbo,Location_backup,WaterFlow
Location_backup.Hydraulic,0,dbo,Location_backup,Hydraulic
Location_backup.Subsurface,0,dbo,Location_backup,Subsurface
Location_backup.WellorSpgNoData,0,dbo,Location_backup,WellorSpgNoData
Location_backup.SubsurfaceType,0,dbo,Location_backup,SubsurfaceType
Location_backup.Easting,0,dbo,Location_backup,Easting
Location_backup.Northing,0,dbo,Location_backup,Northing
Location_backup.UTMDatum,0,dbo,Location_backup,UTMDatum
Location_backup.CoordinateNotes,0,dbo,Location_backup,CoordinateNotes
Location_backup.Altitude,0,dbo,Location_backup,Altitude
Location_backup.AltitudeAccuracy,0,dbo,Location_backup,AltitudeAccuracy
Location_backup.AltitudeMethod,0,dbo,Location_backup,AltitudeMethod
Location_backup.AltDatum,0,dbo,Location_backup,AltDatum
Location_backup.Latitude,0,dbo,Location_backup,Latitude
Location_backup.Longitude,0,dbo,Location_backup,Longitude
Location_backup.LatLonDatum,0,dbo,Location_backup,LatLonDatum
Location_backup.CoordinateAccuracy,0,dbo,Location_backup,CoordinateAccuracy
Location_backup.CoordinateMethod,0,dbo,Location_backup,CoordinateMethod
Location_backup.Township,0,dbo,Location_backup,Township
Location_backup.TownshipDirection,0,dbo,Location_backup,TownshipDirection
Location_backup.Range,0,dbo,Location_backup,Range
Location_backup.RangeDirection,0,dbo,Location_backup,RangeDirection
Location_backup.SectionQuarters,0,dbo,Location_backup,SectionQuarters
Location_backup.SPX,0,dbo,Location_backup,SPX
Location_backup.SPY,0,dbo,Location_backup,SPY
Location_backup.QuadName,0,dbo,Location_backup,QuadName
Location_backup.County,0,dbo,Location_backup,County
Location_backup.State,0,dbo,Location_backup,State
Location_backup.LocationNotes,0,dbo,Location_backup,LocationNotes
Location_backup.WLReportDeliver,0,dbo,Location_backup,WLReportDeliver
Location_backup.ChemistryReportDeliver,0,dbo,Location_backup,ChemistryReportDeliver
Location_backup.WLReportNote,0,dbo,Location_backup,WLReportNote
Location_backup.ChemistryReportNote,0,dbo,Location_backup,ChemistryReportNote
Location_backup.X_NAD83_Zone12,0,dbo,Location_backup,X_NAD83_Zone12
Location_backup.Y_NAD83_Zone12,0,dbo,Location_backup,Y_NAD83_Zone12
Location_backup.projectname,0,dbo,Location_backup,projectname
Location_backup.USGSProjectID,0,dbo,Location_backup,USGSProjectID
Location_backup.ObjectID,0,dbo,Location_backup,ObjectID
Location_backup.LatitudeDD,0,dbo,Location_backup,LatitudeDD
Location_backup.LongitudeDD,0,dbo,Location_backup,LongitudeDD
Location_backup.SSMA_TimeStamp,0,dbo,Location_backup,SSMA_TimeStamp
Location_backup.PublicRelease,0,dbo,Location_backup,PublicRelease
Location_backup.Geometry,0,dbo,Location_backup,Geometry
Location_backupNew.LocationId,0,dbo,Location_backupNew,LocationId
Location_backupNew.DateCreated,0,dbo,Location_backupNew,DateCreated
Location_backupNew.PointID,0,dbo,Location_backupNew,PointID
Location_backupNew.SiteNames,0,dbo,Location_backupNew,SiteNames
Location_backupNew.SiteID,0,dbo,Location_backupNew,SiteID
Location_backupNew.AlternateSiteID,0,dbo,Location_backupNew,AlternateSiteID
Location_backupNew.SiteDate,0,dbo,Location_backupNew,SiteDate
Location_backupNew.DataReliability,0,dbo,Location_backupNew,DataReliability
Location_backupNew.Confidential,0,dbo,Location_backupNew,Confidential
Location_backupNew.SiteType,0,dbo,Location_backupNew,SiteType
Location_backupNew.WL_Continuous,0,dbo,Location_backupNew,WL_Continuous
Location_backupNew.WL_Intermittent,0,dbo,Location_backupNew,WL_Intermittent
Location_backupNew.WaterQuality,0,dbo,Location_backupNew,WaterQuality
Location_backupNew.WaterFlow,0,dbo,Location_backupNew,WaterFlow
Location_backupNew.Hydraulic,0,dbo,Location_backupNew,Hydraulic
Location_backupNew.Subsurface,0,dbo,Location_backupNew,Subsurface
Location_backupNew.WellorSpgNoData,0,dbo,Location_backupNew,WellorSpgNoData
Location_backupNew.SubsurfaceType,0,dbo,Location_backupNew,SubsurfaceType
Location_backupNew.Easting,0,dbo,Location_backupNew,Easting
Location_backupNew.Northing,0,dbo,Location_backupNew,Northing
Location_backupNew.UTMDatum,0,dbo,Location_backupNew,UTMDatum
Location_backupNew.CoordinateNotes,0,dbo,Location_backupNew,CoordinateNotes
Location_backupNew.Altitude,0,dbo,Location_backupNew,Altitude
Location_backupNew.AltitudeAccuracy,0,dbo,Location_backupNew,AltitudeAccuracy
Location_backupNew.AltitudeMethod,0,dbo,Location_backupNew,AltitudeMethod
Location_backupNew.AltDatum,0,dbo,Location_backupNew,AltDatum
Location_backupNew.Latitude,0,dbo,Location_backupNew,Latitude
Location_backupNew.Longitude,0,dbo,Location_backupNew,Longitude
Location_backupNew.LatLonDatum,0,dbo,Location_backupNew,LatLonDatum
Location_backupNew.CoordinateAccuracy,0,dbo,Location_backupNew,CoordinateAccuracy
Location_backupNew.CoordinateMethod,0,dbo,Location_backupNew,CoordinateMethod
Location_backupNew.Township,0,dbo,Location_backupNew,Township
Location_backupNew.TownshipDirection,0,dbo,Location_backupNew,TownshipDirection
Location_backupNew.Range,0,dbo,Location_backupNew,Range
Location_backupNew.RangeDirection,0,dbo,Location_backupNew,RangeDirection
Location_backupNew.SectionQuarters,0,dbo,Location_backupNew,SectionQuarters
Location_backupNew.SPX,0,dbo,Location_backupNew,SPX
Location_backupNew.SPY,0,dbo,Location_backupNew,SPY
Location_backupNew.QuadName,0,dbo,Location_backupNew,QuadName
Location_backupNew.County,0,dbo,Location_backupNew,County
Location_backupNew.State,0,dbo,Location_backupNew,State
Location_backupNew.LocationNotes,0,dbo,Location_backupNew,LocationNotes
Location_backupNew.WLReportDeliver,0,dbo,Location_backupNew,WLReportDeliver
Location_backupNew.ChemistryReportDeliver,0,dbo,Location_backupNew,ChemistryReportDeliver
Location_backupNew.WLReportNote,0,dbo,Location_backupNew,WLReportNote
Location_backupNew.ChemistryReportNote,0,dbo,Location_backupNew,ChemistryReportNote
Location_backupNew.X_NAD83_Zone12,0,dbo,Location_backupNew,X_NAD83_Zone12
Location_backupNew.Y_NAD83_Zone12,0,dbo,Location_backupNew,Y_NAD83_Zone12
Location_backupNew.projectname,0,dbo,Location_backupNew,projectname
Location_backupNew.USGSProjectID,0,dbo,Location_backupNew,USGSProjectID
Location_backupNew.ObjectID,0,dbo,Location_backupNew,ObjectID
Location_backupNew.LatitudeDD,0,dbo,Location_backupNew,LatitudeDD
Location_backupNew.LongitudeDD,0,dbo,Location_backupNew,LongitudeDD
Location_backupNew.SSMA_TimeStamp,0,dbo,Location_backupNew,SSMA_TimeStamp
Location_backupNew.PublicRelease,0,dbo,Location_backupNew,PublicRelease
Location_backupNew.Geometry,0,dbo,Location_backupNew,Geometry
LocationProjectOwnerArchive.LocationId,0,dbo,LocationProjectOwnerArchive,LocationId
LocationProjectOwnerArchive.PointID,0,dbo,LocationProjectOwnerArchive,PointID
LocationProjectOwnerArchive.ProjectName,0,dbo,LocationProjectOwnerArchive,ProjectName
LocationProjectOwnerArchive.OwnerKey,0,dbo,LocationProjectOwnerArchive,OwnerKey
LocationsEB.LocationId,0,dbo,LocationsEB,LocationId
LocationsEB.DateCreated,0,dbo,LocationsEB,DateCreated
LocationsEB.PointID,0,dbo,LocationsEB,PointID
LocationsEB.SiteNames,0,dbo,LocationsEB,SiteNames
LocationsEB.SiteID,0,dbo,LocationsEB,SiteID
LocationsEB.AlternateSiteID,0,dbo,LocationsEB,AlternateSiteID
LocationsEB.SiteDate,0,dbo,LocationsEB,SiteDate
LocationsEB.DataReliability,0,dbo,LocationsEB,DataReliability
LocationsEB.Confidential,0,dbo,LocationsEB,Confidential
LocationsEB.SiteType,0,dbo,LocationsEB,SiteType
LocationsEB.WL_Continuous,0,dbo,LocationsEB,WL_Continuous
LocationsEB.WL_Intermittent,0,dbo,LocationsEB,WL_Intermittent
LocationsEB.WaterQuality,0,dbo,LocationsEB,WaterQuality
LocationsEB.WaterFlow,0,dbo,LocationsEB,WaterFlow
LocationsEB.Hydraulic,0,dbo,LocationsEB,Hydraulic
LocationsEB.Subsurface,0,dbo,LocationsEB,Subsurface
LocationsEB.WellorSpgNoData,0,dbo,LocationsEB,WellorSpgNoData
LocationsEB.SubsurfaceType,0,dbo,LocationsEB,SubsurfaceType
LocationsEB.Easting,0,dbo,LocationsEB,Easting
LocationsEB.Northing,0,dbo,LocationsEB,Northing
LocationsEB.UTMDatum,0,dbo,LocationsEB,UTMDatum
LocationsEB.CoordinateNotes,0,dbo,LocationsEB,CoordinateNotes
LocationsEB.Altitude,0,dbo,LocationsEB,Altitude
LocationsEB.AltitudeAccuracy,0,dbo,LocationsEB,AltitudeAccuracy
LocationsEB.AltitudeMethod,0,dbo,LocationsEB,AltitudeMethod
LocationsEB.AltDatum,0,dbo,LocationsEB,AltDatum
LocationsEB.Latitude,0,dbo,LocationsEB,Latitude
LocationsEB.Longitude,0,dbo,LocationsEB,Longitude
LocationsEB.LatLonDatum,0,dbo,LocationsEB,LatLonDatum
LocationsEB.CoordinateAccuracy,0,dbo,LocationsEB,CoordinateAccuracy
LocationsEB.CoordinateMethod,0,dbo,LocationsEB,CoordinateMethod
LocationsEB.Township,0,dbo,LocationsEB,Township
LocationsEB.TownshipDirection,0,dbo,LocationsEB,TownshipDirection
LocationsEB.Range,0,dbo,LocationsEB,Range
LocationsEB.RangeDirection,0,dbo,LocationsEB,RangeDirection
LocationsEB.SectionQuarters,0,dbo,LocationsEB,SectionQuarters
LocationsEB.SPX,0,dbo,LocationsEB,SPX
LocationsEB.SPY,0,dbo,LocationsEB,SPY
LocationsEB.QuadName,0,dbo,LocationsEB,QuadName
LocationsEB.County,0,dbo,LocationsEB,County
LocationsEB.State,0,dbo,LocationsEB,State
LocationsEB.LocationNotes,0,dbo,LocationsEB,LocationNotes
LocationsEB.WLReportDeliver,0,dbo,LocationsEB,WLReportDeliver
LocationsEB.ChemistryReportDeliver,0,dbo,LocationsEB,ChemistryReportDeliver
LocationsEB.WLReportNote,0,dbo,LocationsEB,WLReportNote
LocationsEB.ChemistryReportNote,0,dbo,LocationsEB,ChemistryReportNote
LocationsEB.X_NAD83_Zone12,0,dbo,LocationsEB,X_NAD83_Zone12
LocationsEB.Y_NAD83_Zone12,0,dbo,LocationsEB,Y_NAD83_Zone12
LocationsEB.projectname,0,dbo,LocationsEB,projectname
LocationsEB.USGSProjectID,0,dbo,LocationsEB,USGSProjectID
LocationsEB.ObjectID,0,dbo,LocationsEB,ObjectID
LocationsEB.LatitudeDD,0,dbo,LocationsEB,LatitudeDD
LocationsEB.LongitudeDD,0,dbo,LocationsEB,LongitudeDD
LocationsEB.PublicRelease,0,dbo,LocationsEB,PublicRelease
LocationsPS.LocationId,0,dbo,LocationsPS,LocationId
LocationsPS.DateCreated,0,dbo,LocationsPS,DateCreated
LocationsPS.PointID,0,dbo,LocationsPS,PointID
LocationsPS.SiteNames,0,dbo,LocationsPS,SiteNames
LocationsPS.SiteID,0,dbo,LocationsPS,SiteID
LocationsPS.AlternateSiteID,0,dbo,LocationsPS,AlternateSiteID
LocationsPS.SiteDate,0,dbo,LocationsPS,SiteDate
LocationsPS.DataReliability,0,dbo,LocationsPS,DataReliability
LocationsPS.Confidential,0,dbo,LocationsPS,Confidential
LocationsPS.SiteType,0,dbo,LocationsPS,SiteType
LocationsPS.WL_Continuous,0,dbo,LocationsPS,WL_Continuous
LocationsPS.WL_Intermittent,0,dbo,LocationsPS,WL_Intermittent
LocationsPS.WaterQuality,0,dbo,LocationsPS,WaterQuality
LocationsPS.WaterFlow,0,dbo,LocationsPS,WaterFlow
LocationsPS.Hydraulic,0,dbo,LocationsPS,Hydraulic
LocationsPS.Subsurface,0,dbo,LocationsPS,Subsurface
LocationsPS.WellorSpgNoData,0,dbo,LocationsPS,WellorSpgNoData
LocationsPS.SubsurfaceType,0,dbo,LocationsPS,SubsurfaceType
LocationsPS.Easting,0,dbo,LocationsPS,Easting
LocationsPS.Northing,0,dbo,LocationsPS,Northing
LocationsPS.UTMDatum,0,dbo,LocationsPS,UTMDatum
LocationsPS.CoordinateNotes,0,dbo,LocationsPS,CoordinateNotes
LocationsPS.Altitude,0,dbo,LocationsPS,Altitude
LocationsPS.AltitudeAccuracy,0,dbo,LocationsPS,AltitudeAccuracy
LocationsPS.AltitudeMethod,0,dbo,LocationsPS,AltitudeMethod
LocationsPS.AltDatum,0,dbo,LocationsPS,AltDatum
LocationsPS.Latitude,0,dbo,LocationsPS,Latitude
LocationsPS.Longitude,0,dbo,LocationsPS,Longitude
LocationsPS.LatLonDatum,0,dbo,LocationsPS,LatLonDatum
LocationsPS.CoordinateAccuracy,0,dbo,LocationsPS,CoordinateAccuracy
LocationsPS.CoordinateMethod,0,dbo,LocationsPS,CoordinateMethod
LocationsPS.Township,0,dbo,LocationsPS,Township
LocationsPS.TownshipDirection,0,dbo,LocationsPS,TownshipDirection
LocationsPS.Range,0,dbo,LocationsPS,Range
LocationsPS.RangeDirection,0,dbo,LocationsPS,RangeDirection
LocationsPS.SectionQuarters,0,dbo,LocationsPS,SectionQuarters
LocationsPS.SPX,0,dbo,LocationsPS,SPX
LocationsPS.SPY,0,dbo,LocationsPS,SPY
LocationsPS.QuadName,0,dbo,LocationsPS,QuadName
LocationsPS.County,0,dbo,LocationsPS,County
LocationsPS.State,0,dbo,LocationsPS,State
LocationsPS.LocationNotes,0,dbo,LocationsPS,LocationNotes
LocationsPS.WLReportDeliver,0,dbo,LocationsPS,WLReportDeliver
LocationsPS.ChemistryReportDeliver,0,dbo,LocationsPS,ChemistryReportDeliver
LocationsPS.WLReportNote,0,dbo,LocationsPS,WLReportNote
LocationsPS.ChemistryReportNote,0,dbo,LocationsPS,ChemistryReportNote
LocationsPS.X_NAD83_Zone12,0,dbo,LocationsPS,X_NAD83_Zone12
LocationsPS.Y_NAD83_Zone12,0,dbo,LocationsPS,Y_NAD83_Zone12
LocationsPS.projectname,0,dbo,LocationsPS,projectname
LocationsPS.USGSProjectID,0,dbo,LocationsPS,USGSProjectID
LocationsPS.ObjectID,0,dbo,LocationsPS,ObjectID
LocationsPS.LatitudeDD,0,dbo,LocationsPS,LatitudeDD
LocationsPS.LongitudeDD,0,dbo,LocationsPS,LongitudeDD
LocationsPS.PublicRelease,0,dbo,LocationsPS,PublicRelease
LocationsSB.LocationId,0,dbo,LocationsSB,LocationId
LocationsSB.DateCreated,0,dbo,LocationsSB,DateCreated
LocationsSB.PointID,0,dbo,LocationsSB,PointID
LocationsSB.SiteNames,0,dbo,LocationsSB,SiteNames
LocationsSB.SiteID,0,dbo,LocationsSB,SiteID
LocationsSB.AlternateSiteID,0,dbo,LocationsSB,AlternateSiteID
LocationsSB.SiteDate,0,dbo,LocationsSB,SiteDate
LocationsSB.DataReliability,0,dbo,LocationsSB,DataReliability
LocationsSB.Confidential,0,dbo,LocationsSB,Confidential
LocationsSB.SiteType,0,dbo,LocationsSB,SiteType
LocationsSB.WL_Continuous,0,dbo,LocationsSB,WL_Continuous
LocationsSB.WL_Intermittent,0,dbo,LocationsSB,WL_Intermittent
LocationsSB.WaterQuality,0,dbo,LocationsSB,WaterQuality
LocationsSB.WaterFlow,0,dbo,LocationsSB,WaterFlow
LocationsSB.Hydraulic,0,dbo,LocationsSB,Hydraulic
LocationsSB.Subsurface,0,dbo,LocationsSB,Subsurface
LocationsSB.WellorSpgNoData,0,dbo,LocationsSB,WellorSpgNoData
LocationsSB.SubsurfaceType,0,dbo,LocationsSB,SubsurfaceType
LocationsSB.Easting,0,dbo,LocationsSB,Easting
LocationsSB.Northing,0,dbo,LocationsSB,Northing
LocationsSB.UTMDatum,0,dbo,LocationsSB,UTMDatum
LocationsSB.CoordinateNotes,0,dbo,LocationsSB,CoordinateNotes
LocationsSB.Altitude,0,dbo,LocationsSB,Altitude
LocationsSB.AltitudeAccuracy,0,dbo,LocationsSB,AltitudeAccuracy
LocationsSB.AltitudeMethod,0,dbo,LocationsSB,AltitudeMethod
LocationsSB.AltDatum,0,dbo,LocationsSB,AltDatum
LocationsSB.Latitude,0,dbo,LocationsSB,Latitude
LocationsSB.Longitude,0,dbo,LocationsSB,Longitude
LocationsSB.LatLonDatum,0,dbo,LocationsSB,LatLonDatum
LocationsSB.CoordinateAccuracy,0,dbo,LocationsSB,CoordinateAccuracy
LocationsSB.CoordinateMethod,0,dbo,LocationsSB,CoordinateMethod
LocationsSB.Township,0,dbo,LocationsSB,Township
LocationsSB.TownshipDirection,0,dbo,LocationsSB,TownshipDirection
LocationsSB.Range,0,dbo,LocationsSB,Range
LocationsSB.RangeDirection,0,dbo,LocationsSB,RangeDirection
LocationsSB.SectionQuarters,0,dbo,LocationsSB,SectionQuarters
LocationsSB.SPX,0,dbo,LocationsSB,SPX
LocationsSB.SPY,0,dbo,LocationsSB,SPY
LocationsSB.QuadName,0,dbo,LocationsSB,QuadName
LocationsSB.County,0,dbo,LocationsSB,County
LocationsSB.State,0,dbo,LocationsSB,State
LocationsSB.LocationNotes,0,dbo,LocationsSB,LocationNotes
LocationsSB.WLReportDeliver,0,dbo,LocationsSB,WLReportDeliver
LocationsSB.ChemistryReportDeliver,0,dbo,LocationsSB,ChemistryReportDeliver
LocationsSB.WLReportNote,0,dbo,LocationsSB,WLReportNote
LocationsSB.ChemistryReportNote,0,dbo,LocationsSB,ChemistryReportNote
LocationsSB.X_NAD83_Zone12,0,dbo,LocationsSB,X_NAD83_Zone12
LocationsSB.Y_NAD83_Zone12,0,dbo,LocationsSB,Y_NAD83_Zone12
LocationsSB.projectname,0,dbo,LocationsSB,projectname
LocationsSB.USGSProjectID,0,dbo,LocationsSB,USGSProjectID
LocationsSB.ObjectID,0,dbo,LocationsSB,ObjectID
LocationsSB.LatitudeDD,0,dbo,LocationsSB,LatitudeDD
LocationsSB.LongitudeDD,0,dbo,LocationsSB,LongitudeDD
LocationsSB.PublicRelease,0,dbo,LocationsSB,PublicRelease
LU_AllAnalytes.CODE,77,dbo,LU_AllAnalytes,CODE
LU_AllAnalytes.MEANING,77,dbo,LU_AllAnalytes,MEANING
