table_field
NMA_Chemistry_SampleInfo.OBJECTID
NMA_Chemistry_SampleInfo.SamplePointID
NMA_Chemistry_SampleInfo.SamplePtID
NMA_Chemistry_SampleInfo.WCLab_ID
NMA_Chemistry_SampleInfo.CollectionDate
NMA_Chemistry_SampleInfo.CollectionMethod
NMA_Chemistry_SampleInfo.CollectedBy
NMA_Chemistry_SampleInfo.AnalysesAgency
NMA_Chemistry_SampleInfo.SampleType
NMA_Chemistry_SampleInfo.SampleMaterialNotH2O
NMA_Chemistry_SampleInfo.WaterType
NMA_Chemistry_SampleInfo.StudySample
NMA_Chemistry_SampleInfo.DataSource
NMA_Chemistry_SampleInfo.DataQuality
NMA_Chemistry_SampleInfo.PublicRelease
NMA_Chemistry_SampleInfo.AddedDaytoDate
NMA_Chemistry_SampleInfo.AddedMonthDaytoDate
NMA_Chemistry_SampleInfo.SampleNotes
NMA_SurfaceWaterData.SurfaceID
NMA_SurfaceWaterData.PointID
NMA_SurfaceWaterData.OBJECTID
NMA_SurfaceWaterData.Discharge
NMA_SurfaceWaterData.DischargeMethod
NMA_SurfaceWaterData.DischargeRate
NMA_SurfaceWaterData.DischargeUnits
NMA_SurfaceWaterData.DateMeasured
NMA_SurfaceWaterData.DischargeSource
NMA_SurfaceWaterData.SiteNotes
NMA_SurfaceWaterData.FieldMethodNotes
NMA_SurfaceWaterData.FormationZone
NMA_SurfaceWaterData.AqClass
NMA_SurfaceWaterData.SourceNotes
NMA_SurfaceWaterData.DataSource
NMA_WaterLevelsContinuous_Pressure_Daily.GlobalID
NMA_WaterLevelsContinuous_Pressure_Daily.OBJECTID
NMA_WaterLevelsContinuous_Pressure_Daily.WellID
NMA_WaterLevelsContinuous_Pressure_Daily.PointID
NMA_WaterLevelsContinuous_Pressure_Daily.DateMeasured
NMA_WaterLevelsContinuous_Pressure_Daily.TemperatureWater
NMA_WaterLevelsContinuous_Pressure_Daily.WaterHead
NMA_WaterLevelsContinuous_Pressure_Daily.WaterHeadAdjusted
NMA_WaterLevelsContinuous_Pressure_Daily.DepthToWaterBGS
NMA_WaterLevelsContinuous_Pressure_Daily.MeasurementMethod
NMA_WaterLevelsContinuous_Pressure_Daily.DataSource
NMA_WaterLevelsContinuous_Pressure_Daily.MeasuringAgency
NMA_WaterLevelsContinuous_Pressure_Daily.QCed
NMA_WaterLevelsContinuous_Pressure_Daily.Notes
NMA_WaterLevelsContinuous_Pressure_Daily.Created
NMA_WaterLevelsContinuous_Pressure_Daily.Updated
NMA_WaterLevelsContinuous_Pressure_Daily.ProcessedBy
NMA_WaterLevelsContinuous_Pressure_Daily.CheckedBy
