model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9331|5.6235460705977545
PointID|Table|Field|Error
QY-0218|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0225|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0230|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0231|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0234|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0236|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0251|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0264|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0271|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0395|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0396|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0402|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0403|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0404|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0405|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0406|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0407|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0408|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0410|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0411|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0415|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0426|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0431|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0436|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0450|WellData|FormationZone|Unknown formation: 110ALVM/231SNRS
QY-0457|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0461|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0462|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0463|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0468|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0469|WellData|FormationZone|Unknown formation: 110AVMB/231SNRS
QY-0483|WellData|FormationZone|Unknown formation: 121OGLL/231SNRS
QY-0487|WellData|FormationZone|Unknown formation: 110ALVM/121OGLL
QY-0489|WellData|FormationZone|Unknown formation: 110ALVM/110AVMB
QY-0490|WellData|FormationZone|Unknown formation: 110ALVM/110AVMB
QY-0522|WellData|FormationZone|Unknown formation: 110ALVM/121OGLL
QY-0523|WellData|FormationZone|Unknown formation: 110ALVM/121OGLL
QY-0524|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0525|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0543|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0547|WellData|FormationZone|Unknown formation: 221MRSN/231CHNL
QY-0548|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0549|WellData|FormationZone|Unknown formation: 221MRSN/231CHNL
QY-0552|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0553|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0556|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0557|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0609|WellData|FormationZone|Unknown formation: 121OGLL/231CHNL
QY-0670|WellData|FormationZone|Unknown formation: 121OGLL/231CHNL
QY-0768|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0787|WellData|FormationZone|Unknown formation: 121OGLL/231CHNL
QY-0843|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0846|WellData|FormationZone|Unknown formation: 121OGLL/220ENRD
QY-0864|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0906|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0907|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0917|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0921|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0922|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0923|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0924|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0926|WellData|FormationZone|Unknown formation: 121OGLL/210CRCS
QY-0950|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0972|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0980|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0998|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-1001|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-1006|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-1011|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
RA-019|WellData|FormationZone|Unknown formation: 122
RA-067|WellData|FormationZone|Unknown formation: 122TSUQdx
RA-082|WellData|FormationZone|Unknown formation: 122ABQU
RA-085|WellData|FormationZone|Unknown formation: 122A
SA-0005|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0006|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0008|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0009|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0016|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0017|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0018|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0028|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0030|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0038|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0042|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0044|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0050|WellData|FormationZone|Unknown formation: 112QTBF/123DTMGign
SA-0051|WellData|FormationZone|Unknown formation: 112QTBFppm/123DTMGign
SA-0053|WellData|FormationZone|Unknown formation: 112QTBFlac
SA-0056|WellData|FormationZone|Unknown formation: 112QTBFlac
SA-0057|WellData|FormationZone|Unknown formation: 112QTBFlac
SA-0059|WellData|FormationZone|Unknown formation: 123SPRSlower
SA-0063|WellData|FormationZone|Unknown formation: 123SPRSlower
SA-0068|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0071|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0072|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0073|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0075|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0076|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0077|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0078|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0081|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0082|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0084|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0086|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0087|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0101|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0102|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0103|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0105|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0106|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0107|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0108|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0109|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0110|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0112|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0113|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0114|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0115|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0116|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0117|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0123|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0126|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0127|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0128|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0129|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0130|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0131|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0132|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0133|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0134|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0135|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0136|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0137|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0138|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0139|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0140|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0145|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0146|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0147|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0148|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0149|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0151|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0161|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0162|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0164|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0165|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0166|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0168|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0170|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0171|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0172|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0174|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0175|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0176|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0177|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0178|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0179|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0182|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0183|WellData|FormationZone|Unknown formation: 123SPRSmid_uppe
SA-0184|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0188|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0189|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0192|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0195|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0196|WellData|FormationZone|Unknown formation: 050QUAL/112QTBFppm
SA-0197|WellData|FormationZone|Unknown formation: 050QUAL/112QTBFppm
SA-0198|WellData|FormationZone|Unknown formation: 050QUAL/112QTBF
SA-0199|WellData|FormationZone|Unknown formation: 050QUAL/112QTBFppm
SA-0200|WellData|FormationZone|Unknown formation: 123DTMGrhydac
SA-0203|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0204|WellData|FormationZone|Unknown formation: 123DTMGandbas
SA-0205|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0206|WellData|FormationZone|Unknown formation: 123SPRSmid_uppe
SA-0207|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0208|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0209|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0210|WellData|FormationZone|Unknown formation: 123DTMGign
SA-0211|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0212|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0213|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0214|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0216|WellData|FormationZone|Unknown formation: 112QTBFpd
SA-0217|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0218|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0219|WellData|FormationZone|Unknown formation: 112QTBFppm
SA-0220|WellData|FormationZone|Unknown formation: 112QTBFppm
