model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|5000|4784|4.32
PointID|Table|Field|Error
BC-0031|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0039|WellData|FormationZone|Unknown formation: 221MRSN/221BLUF
BC-0043|WellData|FormationZone|Unknown formation: 210MNCS/211DKOT
BC-0051|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0057|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0061|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0079|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0080|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0086|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0088|WellData|FormationZone|Unknown formation: 310GLOR/300YESO
BC-0162|WellData|FormationZone|Unknown formation: 230MNKP
BC-0221|WellData|FormationZone|Unknown formation: 310GLOR/300YESO
BC-0241|WellData|FormationZone|Unknown formation: 410PRCGf
BC-0268|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0269|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0272|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0317|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BW-0077|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0090|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0096|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0097|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0098|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0099|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0100|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0101|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0102|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0103|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0106|WellData|FormationZone|Unknown formation: 110ALVM/313SADG
BW-0109|WellData|FormationZone|Unknown formation: 110ALVM/300YESO
BW-0115|WellData|FormationZone|Unknown formation: 211MVRD/110ALVM
BW-0116|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0119|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0120|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0132|WellData|FormationZone|Unknown formation: 110ALVM/210MNCS
BW-0137|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0138|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0142|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0143|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
LC-006|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
LC-009|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
LC-010|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
LC-011|WellData|FormationZone|Unknown formation: 120IRSV/121TSUQe
LC-025|WellData|FormationZone|Unknown formation: 112ANCH/110ALVM
LC-027|WellData|FormationZone|Unknown formation: 121TSUQs/112ANCH
LC-028|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
MG-039|WellData|FormationZone|Unknown formation: 123DTMGign
MG-041|WellData|FormationZone|Unknown formation: 123DTMGign
MG-043|WellData|FormationZone|Unknown formation: 123DTMGign
MI-0099|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0123|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0124|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0132|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0133|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0134|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0135|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0139|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0140|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0141|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0142|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0143|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0144|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0145|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0146|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0147|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0148|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0149|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0150|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0151|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0152|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR/221MRSN
MI-0182|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0183|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0190|WellData|FormationZone|Unknown formation: 211GRRS/211DKOT/217PRGR
MI-0191|WellData|FormationZone|Unknown formation: 211GRRS/211DKOT/217PRGR
MI-0195|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0196|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0198|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0199|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0200|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0201|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0203|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0204|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0205|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0206|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0207|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0208|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0209|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0210|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0211|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0218|WellData|FormationZone|Unknown formation: 231CHNL/110AVMB
MI-0222|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0223|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0225|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0226|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0227|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0229|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR
MI-0230|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR/110AVMB
MI-0238|WellData|FormationZone|Unknown formation: 211GRRG/211DKOT/217PRGR
MI-0240|WellData|FormationZone|Unknown formation: 211DKOT/217PRGR/220ENRD
MI-0243|WellData|FormationZone|Unknown formation: 211GRRS/211DKOT/217PRGR
MI-0244|WellData|FormationZone|Unknown formation: 211GRRS/211DKOT/217PRGR
